customerid,age,salary,balance,marital,jobedu,targeted,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,response
1,58,100000,2143,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",261 sec,1,-1,0,unknown,no
2,44,60000,29,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",151 sec,1,-1,0,unknown,no
3,33,120000,2,married,"entrepreneur,secondary",yes,no,yes,yes,unknown,5,"may, 2017",76 sec,1,-1,0,unknown,no
4,47,20000,1506,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",92 sec,1,-1,0,unknown,no
5,33,0,1,single,"unknown,unknown",no,no,no,no,unknown,5,"may, 2017",198 sec,1,-1,0,unknown,no
6,35,100000,231,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",139 sec,1,-1,0,unknown,no
7,28,100000,447,single,"management,tertiary",no,no,yes,yes,unknown,5,"may, 2017",217 sec,1,-1,0,unknown,no
8,42,120000,2,divorced,"entrepreneur,tertiary",no,yes,yes,no,unknown,5,"may, 2017",380 sec,1,-1,0,unknown,no
9,58,55000,121,married,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",50 sec,1,-1,0,unknown,no
10,43,60000,593,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",55 sec,1,-1,0,unknown,no
11,41,50000,270,divorced,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",222 sec,1,-1,0,unknown,no
12,29,50000,390,single,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",137 sec,1,-1,0,unknown,no
13,53,60000,6,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",517 sec,1,-1,0,unknown,no
14,58,60000,71,married,"technician,unknown",no,no,yes,no,unknown,5,"may, 2017",71 sec,1,-1,0,unknown,no
15,57,70000,162,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",174 sec,1,-1,0,unknown,no
16,51,55000,229,married,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",353 sec,1,-1,0,unknown,no
17,45,50000,13,single,"admin.,unknown",no,no,yes,no,unknown,5,"may, 2017",98 sec,1,-1,0,unknown,no
18,57,20000,52,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",38 sec,1,-1,0,unknown,no
19,60,55000,60,married,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",219 sec,1,-1,0,unknown,no
20,33,70000,0,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",54 sec,1,-1,0,unknown,no
21,28,20000,723,married,"blue-collar,secondary",yes,no,yes,yes,unknown,5,"may, 2017",262 sec,1,-1,0,unknown,no
22,56,100000,779,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",164 sec,1,-1,0,unknown,no
